# DRAFT emoji-data.txt
# For details about the format and other information, see index.html#Data_Files.
#
# Format
# Code ;  Default Style ; Ordering ;  Annotations ; Sources # Version Char Name
#
U+2619 ;  text ;  179 ; bullet, emotion, flower, heart ;  x   # V3.0 (☙) reversed rotated floral heart bullet
U+2763 ;  text ;  180 ; emotion, exclamation, heart ; z   # V1.1 (❣) heavy heart exclamation mark ornament
U+2765 ;  text ;  181 ; bullet, emotion, heart ;  z   # V1.1 (❥) rotated heavy black heart bullet
U+2766 ;  text ;  182 ; emotion, flower, heart ;  z   # V1.1 (❦) floral heart
U+2767 ;  text ;  183 ; bullet, emotion, flower, heart ;  z   # V1.1 (❧) rotated floral heart bullet
U+1F394 ; emoji ; 184 ; celebration, emotion, heart ; w   # V7.0 (🎔) heart with tip on the left
U+1F48C ; emoji ; 185 ; emotion, heart, letter, love, mail, romance ; j   # V6.0 (💌) love letter
U+1F4A7 ; emoji ; 186 ; cold, comic, drop, droplet, emotion, object, sweat, weather ; j   # V6.0 (💧) droplet
U+1F4A4 ; emoji ; 187 ; comic, emotion, sleeping, sleepy, word, zzz ; j   # V6.0 (💤) sleeping symbol
U+1F4A2 ; emoji ; 188 ; anger, angry, comic, emotion ;  j   # V6.0 (💢) anger symbol
U+1F4A3 ; emoji ; 189 ; bomb, comic, emotion, object ;  jw  # V6.0 (💣) bomb
U+1F4A5 ; emoji ; 190 ; boom, collision, comic, emotion ; j   # V6.0 (💥) collision symbol
U+1F4A6 ; emoji ; 191 ; comic, emotion, object, splashing, sweat ;  j   # V6.0 (💦) splashing sweat symbol
U+1F4A8 ; emoji ; 192 ; comic, dash, emotion, object, running ; j   # V6.0 (💨) dash symbol
U+1F4AB ; emoji ; 193 ; comic, dizzy, emotion, star ; j   # V6.0 (💫) dizzy symbol
U+1F4AC ; emoji ; 194 ; balloon, bubble, comic, dialog, emotion, speech ; j   # V6.0 (💬) speech balloon
U+1F4AD ; emoji ; 195 ; balloon, bubble, comic, emotion, thought ;  x   # V6.0 (💭) thought balloon
U+1F573 ; emoji ; 196 ; emotion, hole ; w   # V7.0 (🕳) hole
U+1F5E4 ; emoji ; 197 ; 3, above, comic, emotion, rays, three ; w   # V7.0 (🗤) three rays above
U+1F5E5 ; emoji ; 198 ; 3, below, comic, emotion, rays, three ; w   # V7.0 (🗥) three rays below
